City,Cost of Living Index
"Douala, Cameroon",42.3
"Baghdad, Iraq",38.5
"Guatemala City, Guatemala",38.6
"Oradea, Romania",38.8
"Palma de Mallorca, Spain",64.2
"Bolzano-Bozen, Italy",70.8
"Chelyabinsk, Russia",31.7
"Haarlem, Netherlands",71.3
"Rimini, Italy",68.1
"Irvine, CA, United States",80.4
"Oakland, CA, United States",78.9
"Turku, Finland",72.3
"Reno, NV, United States",72.1
"Ann Arbor, MI, United States",73.5
"Madison, WI, United States",70.2
"Anchorage, AK, United States",74.4
"Colorado Springs, CO, United States",69.8
"Kansas City, MO, United States",68.5
"Tulsa, OK, United States",65.7
"Baltimore, MD, United States",70.4
"Omaha, NE, United States",67.9
"Memphis, TN, United States",62.3
"Milwaukee, WI, United States",66.7
"Detroit, MI, United States",63.5
