index,city,climate_index,cost_of_living_index,health_care_index,pollution_index,property_price_to_income_ratio,purchasing_power_index,safety_index,traffic_commute_time_index,quality_of_life_index,city_net_migration_x,city_net_migration_y
3,Kabul,,,26.16,89.71,9.61,,22.09,56.17,,-427.3156,-9.609300000000001
6,Annaba-Algeria,97.28,,76.85,95.69,12.93,,36.56,15.0,,-102.9436,-50.0
19,Bahia-Blanca-Argentina,91.54,,67.59,63.45,20.0,,54.15,30.0,,-30.157200000000003,-26.331200000000003
20,Buenos-Aires,98.28,32.65,68.39,51.76,23.34,32.49,36.56,49.65,105.45,-1671.0,-427.3156
24,Ensenada,96.82,,93.6,43.83,,,60.68,37.0,,-5.4463,-61.4254
26,La-Paz,55.46,30.1,47.01,75.36,12.05,40.49,39.56,52.67,81.64,-2.4307000000000003,-46.9247
27,La-Plata-Argentina,97.52,,60.19,60.2,7.0,,31.53,39.11,,-19.314400000000003,-102.9436
28,Mendoza-Argentina,87.76,26.39,58.33,36.18,11.61,50.77,34.42,36.5,133.49,-11.504100000000001,-116.25800000000001
30,Rosario,96.13,27.8,75.53,42.97,12.7,52.51,24.44,25.61,138.54,-127.60000000000001,-65.4344
31,San-Juan,71.25,73.68,62.98,48.88,6.96,67.44,31.93,36.25,126.84,-47.1389,-62.0536
33,Santa-Rosa,91.21,,79.14,31.08,6.04,,62.58,38.75,,-10.288,-71.6132
35,Victoria,92.52,72.66,66.38,18.41,15.24,78.49,58.89,32.0,167.45,-3.0623,-33.8296
38,Adelaide,94.96,76.88,73.94,24.29,7.91,106.67,67.7,35.46,188.22,8292.5696,-27.620800000000003
39,Alice-Springs-Australia,73.52,,82.87,33.5,5.18,,27.9,10.0,,151.84640000000002,-53.190000000000005
41,Cairns,89.82,,69.76,27.18,9.3,,38.28,32.55,,939.3792000000001,-102.5772
42,Canberra,82.72,79.85,72.41,22.76,9.24,103.94,73.71,34.94,185.1,2441.5232,-120.843
45,Darwin,79.19,,57.27,23.95,,,37.89,21.11,,895.3728000000001,-78.60000000000001
46,Geelong,95.0,,55.39,31.69,,,40.01,38.86,,1153.5296,44.438
47,Georgetown,65.81,45.37,35.45,68.1,31.74,26.1,29.48,52.0,53.62,1.4208,-1.7364000000000002
48,Hamilton,61.06,66.55,75.86,60.09,29.57,92.86,44.72,36.15,115.84,63.833600000000004,-30.157200000000003
49,Hobart,90.62,74.04,69.17,15.77,8.7,115.87,66.1,27.2,197.06,1263.6864,-1671.0
50,Kingston,57.34,67.63,74.58,25.7,6.94,119.83,60.99,40.78,176.15,66.61760000000001,-5.2837000000000005
53,Perth,95.71,69.64,71.98,26.91,5.42,140.18,58.43,41.12,195.1,13707.7376,-73.0266
54,Shepparton-Australia,87.97,,32.41,32.76,,,21.05,20.0,,199.66080000000002,-14.945
55,Sydney,97.07,73.47,74.79,28.62,14.68,117.75,65.92,43.39,179.52,30979.84,-5.4463
