Rank_x,"City, Country_0",Cost of Living Index_x,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Rank_y,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index,Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index_y,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Country,City,"City, Country"
156,"Aachen, Germany",61.3,20.5,42.0,56.7,52.1,110.7,156,10.0,3.3,3.6,30.7,28.4,71.5,1.5,29.5,186.3,128.0,61.7,74.8,63.6,9.4,30.4,33.3,82.1, Germany,Aachen,"Aachen, Germany"
36,"Aarhus, Denmark",77.0,29.8,54.6,70.1,81.7,103.9,199,7.7,4.1,4.7,24.6,21.5,56.7,1.8,8.0,198.9,116.9,74.4,77.0,74.7,8.4,27.7,21.1,83.7, Denmark,Aarhus,"Aarhus, Denmark"
123,"Aberdeen, United Kingdom",65.1,24.4,45.8,56.1,61.3,113.8,135,11.2,4.4,4.9,23.2,20.8,94.7,1.2,73.0,163.7,107.7,50.0,74.8,65.8,8.8,35.8,44.7,86.3, United Kingdom,Aberdeen,"Aberdeen, United Kingdom"
164,"Abu Dhabi, United Arab Emirates",59.3,46.8,53.4,43.1,63.6,105.9,213,6.5,6.0,5.4,16.6,18.5,53.5,1.9,30.0,184.7,141.1,88.1,71.0,54.5,6.5,31.7,46.6,43.9, United Arab Emirates,Abu Dhabi,"Abu Dhabi, United Arab Emirates"
345,"Accra, Ghana",27.4,10.6,19.4,29.0,23.2,14.3,137,12.1,5.6,5.7,23.3,22.2,130.3,1.4,94.9,150.2,92.9,57.9,67.5,53.5,12.2,36.1,49.8,77.7, Ghana,Accra,"Accra, Ghana"
210,"Addis Ababa, Ethiopia",46.7,15.8,32.0,45.1,22.9,9.3,1,51.6,6.6,4.8,15.2,20.7,861.5,0.1,94.9,150.2,92.9,57.9,67.5,53.5,12.2,36.1,49.8,77.7, Ethiopia,Addis Ababa,"Addis Ababa, Ethiopia"
25,"Adelaide, Australia",81.7,35.0,59.6,80.5,87.8,72.2,187,8.2,4.5,5.3,22.1,18.9,71.5,1.4,25.0,186.8,103.5,67.6,73.9,75.5,8.2,35.5,24.3,95.0, Australia,Adelaide,"Adelaide, Australia"
356,"Ahmedabad, India",24.2,5.8,15.5,26.6,17.4,50.5,172,10.7,3.0,3.2,34.3,31.8,116.3,1.1,146.0,123.9,65.6,67.8,67.3,22.9,9.3,39.0,72.7,49.3, India,Ahmedabad,"Ahmedabad, India"
77,"Albuquerque, NM, United States",69.8,41.6,56.4,73.3,73.5,124.7,253,2.8,12.7,11.7,7.9,8.6,25.3,3.9,60.0,173.5,142.4,28.4,62.8,61.8,2.8,27.0,33.9,67.1, United States,Albuquerque,"Albuquerque, United States"
342,"Alexandria, Egypt",27.8,5.7,17.3,27.8,23.2,12.9,57,16.0,6.1,6.2,16.4,16.1,258.1,0.4,190.0,74.1,18.0,49.3,45.9,20.4,18.0,49.9,90.8,88.5, Egypt,Alexandria,"Alexandria, Egypt"
